Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics*,82,19905,3137,7221,.434,969,2860,.339,2168,4361,.497,1324,1692,.783,858,2727,3585,1773,618,376,1133,1592,8567
2,Dallas Mavericks*,82,19755,3198,7001,.457,895,2635,.340,2303,4366,.527,1296,1689,.767,780,2799,3579,1925,575,300,1073,1645,8587
3,Golden State Warriors*,82,19730,3111,7098,.438,1000,2948,.339,2111,4150,.509,1426,1880,.759,792,2705,3497,1875,649,317,1189,1474,8648
4,Miami Heat*,82,19855,3078,6886,.447,1064,3138,.339,2014,3748,.537,1437,1845,.779,783,2634,3417,1908,608,330,1228,1686,8657
5,Cleveland Cavaliers,82,19730,3236,7152,.452,960,2721,.353,2276,4431,.514,1233,1592,.774,858,2657,3515,1978,691,380,1101,1638,8665
6,New York Knicks,82,19780,3154,7050,.447,1038,3032,.342,2116,4018,.527,1395,1826,.764,766,2812,3578,1982,572,379,1039,1671,8741
7,Toronto Raptors*,82,19855,3197,6919,.462,1014,2861,.354,2183,4058,.538,1374,1742,.789,847,2764,3611,2076,549,416,1298,1563,8782
8,Phoenix Suns*,82,19730,3216,7243,.444,953,2805,.340,2263,4438,.510,1416,1861,.761,863,2783,3646,1875,614,327,1206,1553,8801
9,Philadelphia 76ers*,82,19805,3253,7097,.458,931,2692,.346,2322,4405,.527,1364,1773,.769,838,2784,3622,1932,542,379,1087,1594,8801
10,Utah Jazz*,82,19730,3314,7318,.453,994,2837,.350,2320,4481,.518,1199,1581,.758,809,2599,3408,1917,636,352,982,1664,8821
11,Los Angeles Clippers,82,19780,3343,7432,.450,958,2780,.345,2385,4652,.513,1244,1606,.775,984,2881,3865,1975,631,339,1113,1515,8888
12,Memphis Grizzlies*,82,19780,3305,7269,.455,987,2828,.349,2318,4441,.522,1417,1837,.771,821,2706,3527,2047,588,496,1235,1625,9014
13,New Orleans Pelicans*,82,19755,3301,7009,.471,1064,2913,.365,2237,4096,.546,1377,1753,.786,759,2666,3425,2039,605,391,1164,1681,9043
14,Denver Nuggets*,82,19805,3367,7168,.470,971,2806,.346,2396,4362,.549,1349,1783,.757,795,2680,3475,2082,649,392,1051,1632,9054
15,Oklahoma City Thunder,82,19805,3398,7421,.458,1118,3171,.353,2280,4250,.536,1256,1629,.771,906,3060,3966,2142,695,490,1086,1463,9170
16,Washington Wizards,82,19830,3384,7287,.464,941,2607,.361,2443,4680,.522,1475,1828,.807,840,2786,3626,1941,598,344,972,1634,9184
17,Chicago Bulls*,82,19730,3397,7170,.474,960,2620,.366,2437,4550,.536,1430,1799,.795,764,2777,3541,2049,584,410,1071,1489,9184
18,Brooklyn Nets*,82,19755,3340,7395,.452,1026,2974,.345,2314,4421,.523,1488,1888,.788,926,2690,3616,1954,650,403,1088,1616,9194
19,Milwaukee Bucks*,82,19755,3391,7431,.456,1186,3328,.356,2205,4103,.537,1227,1634,.751,812,2805,3617,2122,606,357,1070,1612,9195
20,Orlando Magic,82,19780,3346,7300,.458,1082,2979,.363,2264,4321,.524,1429,1851,.772,852,3014,3866,2034,655,428,1079,1501,9203
21,Atlanta Hawks*,82,19705,3435,7294,.471,1051,2888,.364,2384,4406,.541,1294,1634,.792,838,2758,3596,2085,576,367,1046,1668,9215
22,Detroit Pistons,82,19780,3333,7051,.473,966,2668,.362,2367,4383,.540,1597,2056,.777,847,2946,3793,2061,606,427,1197,1625,9229
23,San Antonio Spurs,82,19805,3482,7475,.466,992,2756,.360,2490,4719,.528,1313,1711,.767,933,2902,3835,1970,601,403,1131,1553,9269
24,Minnesota Timberwolves*,82,19780,3298,7163,.460,1071,3062,.350,2227,4101,.543,1624,2081,.780,904,2858,3762,2149,593,397,1339,1715,9291
25,Charlotte Hornets,82,19880,3444,7388,.466,1148,3170,.362,2296,4218,.544,1385,1815,.763,931,2920,3851,2169,617,377,1229,1609,9421
26,Indiana Pacers,82,19880,3485,7212,.483,985,2645,.372,2500,4567,.547,1470,1845,.797,833,2702,3535,2058,664,401,1087,1575,9425
27,Portland Trail Blazers,82,19730,3373,7045,.479,1129,3046,.371,2244,3999,.561,1564,2014,.777,800,2868,3668,2184,672,409,1150,1589,9439
28,Los Angeles Lakers,82,19980,3491,7424,.470,1032,2935,.352,2459,4489,.548,1428,1911,.747,902,2920,3822,2154,684,338,1152,1647,9442
29,Sacramento Kings,82,19805,3561,7429,.479,1065,2864,.372,2496,4565,.547,1306,1682,.776,866,2891,3757,2077,668,395,1106,1665,9493
30,Houston Rockets,82,19755,3562,7374,.483,1048,2966,.353,2514,4408,.570,1520,1943,.782,915,2831,3746,2103,776,474,1155,1812,9692
